,Unnamed: 0,City,Lat,Lon,Max Temp (F),Humidity,Cloudiness,Wind Speed (MPH),Country,Date
77,77,Ubari,26.5921,12.7805,85.77,22,57,10.18,LY,1619467647
78,78,Necochea,-38.5473,-58.7368,64.0,74,21,1.01,AR,1619467648
79,79,Forsytheganj,52.6333,29.7333,32.54,81,82,6.67,BY,1619467648
80,80,Vashkivtsi,48.3849,25.5102,41.0,60,0,4.47,UA,1619467648
81,81,Castro,-24.7911,-50.0119,67.15,68,19,5.12,BR,1619467459
82,82,Qaanaaq,77.484,-69.3632,38.7,71,85,7.36,GL,1619467411
83,83,Trujillo,-8.116,-79.03,64.4,88,40,11.5,PE,1619467649
84,84,Haines Junction,60.7522,-137.5108,48.2,29,14,3.44,CA,1619467416
85,85,Rivera,-30.9053,-55.5508,65.66,56,0,6.98,UY,1619467650
86,86,Saskylakh,71.9167,114.0833,-0.92,99,99,4.54,RU,1619467413
87,87,Kapaa,22.0752,-159.319,77.0,73,1,12.66,US,1619467428
88,88,Timizart,36.8,4.2667,58.1,83,82,3.29,DZ,1619467650
89,89,Faanui,-16.4833,-151.75,80.83,67,98,4.81,PF,1619467428
90,90,Marsh Harbour,26.5412,-77.0636,75.29,68,0,15.82,BS,1619467651
91,91,Katsuura,35.1333,140.3,51.8,58,20,10.36,JP,1619467441
92,92,Lebu,-37.6167,-73.65,59.0,73,2,12.57,CL,1619467405
93,93,Cascais,38.6979,-9.4215,62.6,82,20,5.75,PT,1619467651
94,94,Nome,64.5011,-165.4064,39.2,70,1,3.44,US,1619467652
95,95,Melipilla,-33.7,-71.2167,79.0,100,90,4.61,CL,1619467652
96,96,Jalu,29.0331,21.5482,71.19,29,6,7.2,LY,1619467462
97,97,Lompoc,34.6391,-120.4579,59.0,63,3,17.27,US,1619467216
98,98,Tasiilaq,65.6145,-37.6368,39.2,75,75,9.93,GL,1619467448
99,99,Bambous Virieux,-20.3428,57.7575,78.8,83,75,14.97,MU,1619467478
100,100,Aksu,41.1231,80.2644,60.57,21,94,2.51,CN,1619467653
101,101,Sioux Lookout,50.1001,-91.917,35.6,80,90,11.5,CA,1619467390
102,102,Abu Samrah,35.3029,37.1841,59.4,75,1,15.05,SY,1619467654
103,103,Abū Zabad,12.35,29.25,88.75,17,90,4.65,SD,1619467654
104,104,Kayanza Province,-3.0667,29.6667,58.05,95,87,1.16,BI,1619467654
105,105,Beringovskiy,63.05,179.3167,31.87,92,99,3.31,RU,1619467371
106,106,Meulaboh,4.1363,96.1285,76.96,89,99,4.18,ID,1619467635
107,107,Brae,60.3964,-1.3530000000000002,42.8,93,90,16.11,GB,1619467655
108,108,Pacific Grove,36.6177,-121.9166,60.8,48,1,11.5,US,1619467512
109,109,Mehamn,71.0357,27.8492,30.2,93,90,2.3,NO,1619467548
110,110,George Town,5.4112,100.3354,80.6,89,20,4.61,MY,1619467195
111,111,Bonthe,7.5264,-12.505,81.12,75,63,8.25,SL,1619467656
112,112,Kaitangata,-46.2817,169.8464,41.0,85,74,5.01,NZ,1619467504
113,113,Taoudenni,22.6783,-3.9836,97.48,11,59,9.66,ML,1619467450
114,114,Ningxiang,37.34,111.2052,43.66,26,1,4.61,CN,1619467656
115,115,Gimli,50.6336,-96.9907,37.4,87,100,6.91,CA,1619467571
116,116,Moerai,-22.4333,-151.3333,77.72,75,100,9.95,PF,1619467657
117,117,Bengkulu,-3.8004,102.2655,75.34,88,72,3.87,ID,1619467482
118,118,Harper,4.375,-7.7169,80.92,81,18,9.19,LR,1619467657
119,119,Port Alfred,-33.5906,26.891,68.4,82,100,13.62,ZA,1619467390
120,120,Mogadishu,2.0371,45.3438,83.41,75,93,9.51,SO,1619467658
121,121,Isabela,6.7085,121.9711,78.67,83,94,1.12,PH,1619467658
122,122,Grindavik,63.8424,-22.4338,46.4,71,0,3.44,IS,1619467658
123,123,Mount Gambier,-37.8333,140.7667,53.6,87,90,5.75,AU,1619467245
124,124,Majene,-3.5403,118.9707,77.07,89,27,6.67,ID,1619467659
125,125,Vostochnyy,55.8167,37.8667,43.0,52,0,4.47,RU,1619467659
126,126,Mahébourg,-20.4081,57.7,78.8,83,75,14.97,MU,1619467427
127,127,Broken Hill,-31.95,141.4333,50.0,71,11,4.9,AU,1619467660
128,128,Kitami,43.8031,143.8908,28.99,77,3,5.99,JP,1619467660
129,129,Alugan,12.2188,125.4808,76.95,82,60,8.46,PH,1619467661
130,130,Sayyan,15.1718,44.3244,60.22,57,100,3.13,YE,1619467661
131,131,Sri Aman,1.2376,111.4621,77.0,94,99,0.72,MY,1619467661
132,132,Makakilo City,21.3469,-158.0858,78.8,57,1,4.61,US,1619467230
133,133,Kurchum,48.5722,83.6542,44.82,44,67,5.79,KZ,1619467662
134,134,Barrow,71.2906,-156.7887,17.6,73,1,17.27,US,1619467391
135,135,Upernavik,72.7868,-56.1549,36.05,88,33,4.45,GL,1619467388
